"id","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
2137,3.80590265718353,5.44655821294274,0.572095349224871,0.36806134355726,7.10518419736623,6.73712285380897,21.1973649990076,515.474906316126,0.730094120871475,0.0860604337626945,0.18403067177863,3.80590265718353,9.6,0.0,9.6,0.184,0.184,0.184,0.0,0.0,2.0
2138,2.46349630088813,4.0982977996504,0.700116686114352,0.480080013335556,2.34039006501083,1.86031005167528,8.62891644956043,94.6778286232057,0.787814227953859,0.194133279379801,0.168028004667445,2.46349630088813,9.6,0.0,9.6,0.172,0.172,0.172,0.0,0.0,2.0
2139,2.12129385210306,4.07185142541738,0.788131355225871,0.364060676779463,1.58026337722954,1.21620270045008,10.2023478496327,171.611202327418,0.769126086386486,0.175067387643307,0.152025337556259,2.12129385210306,0.0,0.0,0.0,0.152,0.152,0.152,0.0,0.0,2.0
2140,7.70457114408806,8.94125233770489,0.816136022670445,0.040006667777963,16.9788298049675,16.9388231371895,25.5330975641494,737.052408056796,0.776803123174668,0.544720462051224,0.0200033338889815,7.70457114408806,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,2.0
2141,6.1203265418732,8.44700234525641,0.1080180030005,0.0240040006667778,13.9063177196199,13.8823137189532,30.9520232501676,1188.81945634732,0.725951590220923,0.525481961249754,0.0120020003333889,6.1203265418732,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2142,4.61116907524182,7.14444186788097,1.3002167027838,0.0640106684447408,4.0006667777963,3.93665610935156,41.025847676731,2033.15244558271,0.791233910587096,0.381545313049772,0.0120020003333889,4.61116907524182,0.0,0.0,0.0,0.012,0.012,0.012,0.0,0.0,2.0
2143,1.96384619741347,3.80309272944277,1.00416736122687,0.536089348224704,1.37222870478413,0.836139356559427,8.21017616622522,115.17299464606,0.75554344060082,0.127921701734964,0.0120020003333889,1.96384619741347,0.0,0.0,0.0,1.04,1.04,1.04,0.0,0.0,2.0
2144,8.19918593756628,6.12058368112915,8.24537422903817,2.0523420570095,11.7819636606101,9.7296216036006,10.463367154056,157.322991561813,0.925379259945748,0.57191112560685,0.47607934655776,8.19918593756628,8.0,0.0,8.0,0.476,0.476,0.476,0.0,0.0,2.0
2145,2.84171705316636,4.28719851215276,0.5400900150025,0.244040673445574,4.16869478246374,3.92465410901817,14.1311006560157,230.210441249815,0.768291817212692,0.231669849776003,0.216036006001,2.84171705316636,8.0,0.0,8.0,0.216,0.216,0.216,0.0,0.0,2.0
2146,2.38734336618319,4.13279152312338,0.576096016002667,0.208034672445408,2.5964327387898,2.38839806634439,33.9832305510612,1414.66842124397,0.685064946873921,0.266119114200884,0.200033338889815,2.38734336618319,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,2.0
2147,4.27921094364054,5.66819473829334,1.86831138523087,0.576096016002667,5.5129188198033,4.93682280380063,13.3926671228827,225.988713228274,0.834495822787959,0.409614989522403,0.592098683113852,4.27921094364054,9.6,0.0,9.6,0.592,0.592,0.592,0.0,0.0,2.0
2148,2.75961654551894,5.03878438979815,0.428071345224204,0.188031338556426,2.20836806134356,2.02033672278713,28.185369772459,960.706339826223,0.686666129108204,0.0872213279083111,0.18403067177863,2.75961654551894,9.6,0.0,9.6,0.184,0.184,0.184,0.0,0.0,2.0
2149,5.35143380984876,6.06548210180362,2.2683780630105,0.360060010001667,9.66961160193365,9.30955159193199,20.6701528739882,513.441816462249,0.828534634999196,0.305989352408613,0.180030005000833,5.35143380984876,6.0,0.0,6.0,0.18,0.18,0.18,0.0,0.0,2.0
2150,2.52793946202,4.16610861753845,0.668111351891982,0.344057342890482,2.50441740290048,2.16036006001,17.955678579599,403.301944771332,0.746823972000997,0.178765373918576,0.172028671445241,2.52793946202,0.0,0.0,0.0,0.172,0.172,0.172,0.0,0.0,2.0
2151,1.82464466116176,3.56049269360752,0.628104684114019,0.308051341890315,1.31621936989498,1.00816802800467,26.4308734646664,850.102972388351,0.688746620802771,0.149518450702017,0.156026004334056,1.82464466116176,0.0,0.0,0.0,0.156,0.156,0.156,0.0,0.0,2.0
2152,4.4882632833747,4.94922118238849,2.34039006501083,0.50808468078013,7.38123020503417,6.87314552425404,7.3039944632709,71.0757723696192,0.866907578361108,0.295208924865537,0.452075345890982,4.4882632833747,5.33333333333333,0.0,5.33333333333333,0.452,0.452,0.452,0.0,0.0,0.0
2153,2.27787228986082,5.20277279944953,0.47607934655776,0.176029338223037,0.824137356226038,0.648108018003,12.2200718730096,218.657811843813,0.70809660115409,0.149285520941541,0.148024670778463,2.27787228986082,0.0,0.0,0.0,0.148,0.148,0.148,0.0,0.0,2.0
2154,6.44919043036605,8.66031556282079,0.104017336222704,0.0320053342223704,14.8624770795133,14.8304717452909,24.842411358887,712.83348679466,0.723690071673523,0.434163918074324,0.0240040006667778,6.44919043036605,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,2.0
2155,6.48283573665042,8.69997185824802,0.080013335555926,0.0280046674445741,14.966494415736,14.9384897482914,32.6505020874412,1213.83675790033,0.698985552537286,0.66828419488369,0.0280046674445741,6.48283573665042,0.0,0.0,0.0,0.028,0.028,0.028,0.0,0.0,2.0
